"subject","condition_num","time_bin","condition","fix","total_fix"
"11789574",-0.5,100,"unrelated",1,12
"11789574",-0.5,200,"unrelated",5,15
"11789574",-0.5,300,"unrelated",4,12
"11789574",-0.5,400,"unrelated",2,13
"11789574",-0.5,500,"unrelated",1,13
"11789574",-0.5,600,"unrelated",4,15
"11789574",-0.5,700,"unrelated",3,12
"11789574",-0.5,800,"unrelated",1,15
"11789574",-0.5,900,"unrelated",0,9
"11789574",-0.5,1000,"unrelated",1,8
"11789574",-0.5,1100,"unrelated",1,6
"11789574",-0.5,1200,"unrelated",2,6
"11789574",-0.5,1300,"unrelated",0,1
"11789574",-0.5,1400,"unrelated",0,3
"11789574",-0.5,1500,"unrelated",0,1
"11789574",-0.5,1600,"unrelated",0,1
"11789574",0.5,-100,"cohort",3,14
"11789574",0.5,0,"cohort",2,13
"11789574",0.5,100,"cohort",4,12
"11789574",0.5,200,"cohort",2,15
"11789574",0.5,300,"cohort",2,12
"11789574",0.5,400,"cohort",4,13
"11789574",0.5,500,"cohort",4,13
"11789574",0.5,600,"cohort",6,15
"11789574",0.5,700,"cohort",3,12
"11789574",0.5,800,"cohort",5,15
"11789574",0.5,900,"cohort",3,9
"11789574",0.5,1000,"cohort",1,8
"11789574",0.5,1100,"cohort",1,6
"11789574",0.5,1200,"cohort",0,6
"11789574",0.5,1300,"cohort",0,1
"11789574",0.5,1400,"cohort",0,3
"11789574",0.5,1500,"cohort",0,1
"11789574",0.5,1600,"cohort",0,1
"11795362",-0.5,-100,"unrelated",27,88
"11795362",-0.5,0,"unrelated",20,75
"11795362",-0.5,100,"unrelated",16,74
"11795362",-0.5,200,"unrelated",19,75
"11795362",-0.5,300,"unrelated",12,71
"11795362",-0.5,400,"unrelated",8,73
"11795362",-0.5,500,"unrelated",7,65
"11795362",-0.5,600,"unrelated",4,46
"11795362",-0.5,700,"unrelated",2,46
"11795362",-0.5,800,"unrelated",4,30
"11795362",-0.5,900,"unrelated",1,19
"11795362",-0.5,1000,"unrelated",1,13
"11795362",-0.5,1100,"unrelated",0,7
"11795362",-0.5,1200,"unrelated",0,6
"11795362",-0.5,1300,"unrelated",0,4
"11795362",-0.5,1400,"unrelated",0,5
"11795362",0.5,-100,"cohort",20,88
"11795362",0.5,0,"cohort",21,75
"11795362",0.5,100,"cohort",18,74
"11795362",0.5,200,"cohort",21,75
"11795362",0.5,300,"cohort",22,71
"11795362",0.5,400,"cohort",21,73
"11795362",0.5,500,"cohort",14,65
"11795362",0.5,600,"cohort",8,46
"11795362",0.5,700,"cohort",4,46
"11795362",0.5,800,"cohort",1,30
"11795362",0.5,900,"cohort",1,19
"11795362",0.5,1000,"cohort",2,13
"11795362",0.5,1100,"cohort",0,7
"11795362",0.5,1200,"cohort",2,6
"11795362",0.5,1300,"cohort",0,4
"11795362",0.5,1400,"cohort",0,5
"11795372",-0.5,-100,"unrelated",19,82
"11795372",-0.5,0,"unrelated",26,82
"11795372",-0.5,100,"unrelated",19,79
"11795372",-0.5,200,"unrelated",12,69
"11795372",-0.5,300,"unrelated",17,63
"11795372",-0.5,400,"unrelated",26,79
"11795372",-0.5,500,"unrelated",13,72
"11795372",-0.5,600,"unrelated",10,71
"11795372",-0.5,700,"unrelated",9,49
"11795372",-0.5,800,"unrelated",4,46
"11795372",-0.5,900,"unrelated",3,31
"11795372",-0.5,1000,"unrelated",3,26
"11795372",-0.5,1100,"unrelated",0,20
"11795372",-0.5,1200,"unrelated",0,14
"11795372",-0.5,1300,"unrelated",0,6
"11795372",-0.5,1400,"unrelated",0,3
"11795372",-0.5,1500,"unrelated",0,3
"11795372",-0.5,1600,"unrelated",0,3
"11795372",-0.5,1700,"unrelated",0,2
"11795372",-0.5,1800,"unrelated",0,2
"11795372",0.5,-100,"cohort",24,82
"11795372",0.5,0,"cohort",27,82
"11795372",0.5,100,"cohort",28,79
"11795372",0.5,200,"cohort",29,69
"11795372",0.5,300,"cohort",23,63
"11795372",0.5,400,"cohort",29,79
"11795372",0.5,500,"cohort",21,72
"11795372",0.5,600,"cohort",21,71
"11795372",0.5,700,"cohort",8,49
"11795372",0.5,800,"cohort",5,46
"11795372",0.5,900,"cohort",4,31
"11795372",0.5,1000,"cohort",3,26
"11795372",0.5,1100,"cohort",3,20
"11795372",0.5,1200,"cohort",0,14
"11795372",0.5,1300,"cohort",0,6
"11795372",0.5,1400,"cohort",0,3
"11795372",0.5,1500,"cohort",0,3
"11795372",0.5,1600,"cohort",0,3
"11795372",0.5,1700,"cohort",0,2
"11795372",0.5,1800,"cohort",0,2
"11795375",-0.5,-100,"unrelated",43,92
"11795375",-0.5,0,"unrelated",40,82
"11795375",-0.5,100,"unrelated",40,82
"11795375",-0.5,200,"unrelated",30,81
"11795375",-0.5,300,"unrelated",29,84
"11795375",-0.5,400,"unrelated",27,85
"11795375",-0.5,500,"unrelated",11,81
"11795375",-0.5,600,"unrelated",11,85
"11795375",-0.5,700,"unrelated",5,72
"11795375",-0.5,800,"unrelated",1,76
"11795375",-0.5,900,"unrelated",3,78
"11795375",-0.5,1000,"unrelated",6,65
"11795375",-0.5,1100,"unrelated",4,41
"11795375",-0.5,1200,"unrelated",5,30
"11795375",-0.5,1300,"unrelated",7,22
"11795375",-0.5,1400,"unrelated",6,17
"11795375",-0.5,1500,"unrelated",2,9
"11795375",-0.5,1600,"unrelated",3,6
"11795375",-0.5,1700,"unrelated",1,5
"11795375",-0.5,1800,"unrelated",1,11
"11795375",-0.5,1900,"unrelated",0,8
"11795375",0.5,-100,"cohort",9,92
"11795375",0.5,0,"cohort",6,82
"11795375",0.5,100,"cohort",9,82
"11795375",0.5,200,"cohort",16,81
"11795375",0.5,300,"cohort",20,84
"11795375",0.5,400,"cohort",19,85
"11795375",0.5,500,"cohort",21,81
"11795375",0.5,600,"cohort",14,85
"11795375",0.5,700,"cohort",11,72
"11795375",0.5,800,"cohort",7,76
"11795375",0.5,900,"cohort",10,78
"11795375",0.5,1000,"cohort",7,65
"11795375",0.5,1100,"cohort",2,41
"11795375",0.5,1200,"cohort",0,30
"11795375",0.5,1300,"cohort",0,22
"11795375",0.5,1400,"cohort",0,17
"11795375",0.5,1500,"cohort",0,9
"11795375",0.5,1600,"cohort",0,6
"11795375",0.5,1700,"cohort",0,5
"11795375",0.5,1800,"cohort",0,11
